 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.560,0.000,0.000,0.000,0.481,0.553,0.000,0.265,0.549,0.000,0.000,0.048,0.028,0.000,0.057
model.000.01.pdb,0.593,0.000,0.000,0.024,0.517,0.446,0.000,0.382,0.403,0.000,0.000,0.106,0.038,0.000,0.108
model.000.02.pdb,0.060,0.082,0.000,0.556,0.159,0.000,0.143,0.113,0.029,0.000,0.000,0.568,0.523,0.062,0.558
model.000.03.pdb,0.000,0.148,0.300,0.000,0.000,0.000,0.308,0.000,0.000,0.591,0.153,0.000,0.000,0.143,0.000
model.000.04.pdb,0.000,0.291,0.269,0.000,0.000,0.000,0.533,0.000,0.000,0.392,0.232,0.000,0.000,0.304,0.000
model.000.05.pdb,0.434,0.029,0.000,0.087,0.592,0.246,0.000,0.527,0.283,0.000,0.000,0.189,0.108,0.014,0.241
model.000.06.pdb,0.673,0.000,0.000,0.125,0.787,0.328,0.000,0.429,0.407,0.000,0.000,0.131,0.164,0.000,0.200
model.000.07.pdb,0.159,0.000,0.033,0.000,0.056,0.333,0.000,0.000,0.213,0.079,0.048,0.000,0.000,0.000,0.000
model.000.08.pdb,0.000,0.175,0.380,0.000,0.000,0.000,0.309,0.000,0.000,0.682,0.220,0.000,0.000,0.188,0.000
model.000.09.pdb,0.571,0.000,0.000,0.041,0.549,0.440,0.000,0.328,0.418,0.000,0.000,0.103,0.058,0.000,0.123
model.000.10.pdb,0.085,0.043,0.241,0.000,0.039,0.200,0.014,0.000,0.114,0.143,0.207,0.000,0.000,0.057,0.000
model.000.11.pdb,0.000,0.087,0.111,0.179,0.000,0.000,0.352,0.000,0.000,0.230,0.043,0.117,0.206,0.100,0.118
model.000.12.pdb,0.491,0.000,0.000,0.000,0.306,0.644,0.000,0.160,0.538,0.000,0.014,0.015,0.014,0.000,0.014
model.000.13.pdb,0.500,0.000,0.000,0.037,0.303,0.580,0.000,0.136,0.700,0.000,0.000,0.014,0.067,0.000,0.013
model.000.14.pdb,0.000,0.069,0.075,0.080,0.000,0.000,0.250,0.000,0.012,0.305,0.027,0.045,0.114,0.068,0.040
