 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.203,0.000,0.053,0.045
model.000.01.pdb,0.175,0.000,0.571,0.418,0.136
model.000.02.pdb,0.197,0.036,0.365,0.153,0.059
model.000.03.pdb,0.154,0.000,0.457,0.436,0.097
model.000.04.pdb,0.400,0.000,0.476,0.194,0.125
